"id","parent","type","name","current_maturity","target_maturity"
"CSF_DE","CSF","function","DE: Detect","2","3"
"CSF_DE.AE","CSF_DE","category","DE.AE: Adverse Event Analysis","2","3"
"CSF_DE.AE-02","CSF_DE.AE","subcategory","DE.AE-02: Potentially adverse events are analyzed to better understand associated activities","2","3"
"CSF_DE.AE-03","CSF_DE.AE","subcategory","DE.AE-03: Information is correlated from multiple sources","2","3"
"CSF_DE.AE-04","CSF_DE.AE","subcategory","DE.AE-04: The estimated impact and scope of adverse events are determined","2","3"
"CSF_DE.AE-06","CSF_DE.AE","subcategory","DE.AE-06: Information on adverse events is provided to authorized staff and tools","2","3"
"CSF_DE.AE-07","CSF_DE.AE","subcategory","DE.AE-07: Cyber threat intelligence and other contextual information are integrated into the analysis","2","3"
"CSF_DE.AE-08","CSF_DE.AE","subcategory","DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria","2","3"
"CSF_DE.CM","CSF_DE","category","DE.CM: Continuous Monitoring","2","3"
"CSF_DE.CM-01","CSF_DE.CM","subcategory","DE.CM-01: Networks and network services are monitored to find potentially adverse events","2","3"
"CSF_DE.CM-02","CSF_DE.CM","subcategory","DE.CM-02: The physical environment is monitored to find potentially adverse events","2","3"
"CSF_DE.CM-03","CSF_DE.CM","subcategory","DE.CM-03: Personnel activity and technology usage are monitored to find potentially adverse events","2","3"
"CSF_DE.CM-06","CSF_DE.CM","subcategory","DE.CM-06: External service provider activities and services are monitored to find potentially adverse events","2","3"
"CSF_DE.CM-09","CSF_DE.CM","subcategory","DE.CM-09: Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events","2","3"
"CSF_GV","CSF","function","GV: Govern","2","3"
"CSF_GV.OC","CSF_GV","category","GV.OC: Organizational Context","2","3"
"CSF_GV.OC-01","CSF_GV.OC","subcategory","GV.OC-01: The organizational mission is understood and informs cybersecurity risk management","2","3"
"CSF_GV.OC-02","CSF_GV.OC","subcategory","GV.OC-02: Internal and external stakeholders are determined, and their needs and expectations regarding cybersecurity risk management are understood","2","3"
"CSF_GV.OC-03","CSF_GV.OC","subcategory","GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","2","3"
"CSF_GV.OC-04","CSF_GV.OC","subcategory","GV.OC-04: Critical objectives, capabilities, and services that stakeholders depend on or expect from the organization are determined and communicated","2","3"
"CSF_GV.OC-05","CSF_GV.OC","subcategory","GV.OC-05: Outcomes, capabilities, and services that the organization depends on are determined and communicated","2","3"
"CSF_GV.OV","CSF_GV","category","GV.OV: Oversight","2","3"
"CSF_GV.OV-01","CSF_GV.OV","subcategory","GV.OV-01: Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction","2","3"
"CSF_GV.OV-02","CSF_GV.OV","subcategory","GV.OV-02: The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks","2","3"
"CSF_GV.OV-03","CSF_GV.OV","subcategory","GV.OV-03: Organizational cybersecurity risk management performance is measured and reviewed to confirm and adjust strategic direction","2","3"
"CSF_GV.PO","CSF_GV","category","GV.PO: Policies, Processes, and Procedures","2","3"
"CSF_GV.PO-01","CSF_GV.PO","subcategory","GV.PO-01: Policies, processes, and procedures for managing cybersecurity risks are established based on organizational context, cybersecurity strategy, and priorities and are communicated and enforced","2","3"
"CSF_GV.PO-02","CSF_GV.PO","subcategory","GV.PO-02: Policies, processes, and procedures for managing cybersecurity risks are reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission","2","3"
"CSF_GV.RM","CSF_GV","category","GV.RM: Risk Management Strategy","2","3"
"CSF_GV.RM-01","CSF_GV.RM","subcategory","GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders","2","3"
"CSF_GV.RM-02","CSF_GV.RM","subcategory","GV.RM-02: Risk appetite and risk tolerance statements are determined, communicated, and maintained","2","3"
"CSF_GV.RM-03","CSF_GV.RM","subcategory","GV.RM-03: Enterprise risk management processes include cybersecurity risk management activities and outcomes","2","3"
"CSF_GV.RM-04","CSF_GV.RM","subcategory","GV.RM-04: Strategic direction that describes appropriate risk response options is established and communicated","2","3"
"CSF_GV.RM-05","CSF_GV.RM","subcategory","GV.RM-05: Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties","2","3"
"CSF_GV.RM-06","CSF_GV.RM","subcategory","GV.RM-06: A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated","2","3"
"CSF_GV.RM-07","CSF_GV.RM","subcategory","GV.RM-07: Strategic opportunities (i.e., positive risks) are identified and included in organizational cybersecurity risk discussions","2","3"
"CSF_GV.RR","CSF_GV","category","GV.RR: Roles, Responsibilities, and Authorities","2","3"
"CSF_GV.RR-01","CSF_GV.RR","subcategory","GV.RR-01: Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving","2","3"
"CSF_GV.RR-02","CSF_GV.RR","subcategory","GV.RR-02: Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced","2","3"
"CSF_GV.RR-03","CSF_GV.RR","subcategory","GV.RR-03: Adequate resources are allocated commensurate with cybersecurity risk strategy, roles and responsibilities, and policies","2","3"
"CSF_GV.RR-04","CSF_GV.RR","subcategory","GV.RR-04: Cybersecurity is included in human resources practices","2","3"
"CSF_GV.SC","CSF_GV","category","GV.SC: Cybersecurity Supply Chain Risk Management","2","3"
"CSF_GV.SC-01","CSF_GV.SC","subcategory","GV.SC-01: A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders","2","3"
"CSF_GV.SC-02","CSF_GV.SC","subcategory","GV.SC-02: Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally","2","3"
"CSF_GV.SC-03","CSF_GV.SC","subcategory","GV.SC-03: Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes","2","3"
"CSF_GV.SC-04","CSF_GV.SC","subcategory","GV.SC-04: Suppliers are known and prioritized by criticality","2","3"
"CSF_GV.SC-05","CSF_GV.SC","subcategory","GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","2","3"
"CSF_GV.SC-06","CSF_GV.SC","subcategory","GV.SC-06: Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships","2","3"
"CSF_GV.SC-07","CSF_GV.SC","subcategory","GV.SC-07: The risks posed by a supplier, their products and services, and other third parties are identified, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","2","3"
"CSF_GV.SC-08","CSF_GV.SC","subcategory","GV.SC-08: Relevant suppliers and other third parties are included in incident planning, response, and recovery activities","2","3"
"CSF_GV.SC-09","CSF_GV.SC","subcategory","GV.SC-09: Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle","2","3"
"CSF_GV.SC-10","CSF_GV.SC","subcategory","GV.SC-10: Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement","2","3"
"CSF_ID","CSF","function","ID: Identify","2","3"
"CSF_ID.AM","CSF_ID","category","ID.AM: Asset Management","2","3"
"CSF_ID.AM-01","CSF_ID.AM","subcategory","ID.AM-01: Inventories of hardware managed by the organization are maintained","2","3"
"CSF_ID.AM-02","CSF_ID.AM","subcategory","ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained","2","3"
"CSF_ID.AM-03","CSF_ID.AM","subcategory","ID.AM-03: Representations of the organization's authorized network communication and internal and external network data flows are maintained","2","3"
"CSF_ID.AM-04","CSF_ID.AM","subcategory","ID.AM-04: Inventories of services provided by suppliers are maintained","2","3"
"CSF_ID.AM-05","CSF_ID.AM","subcategory","ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission","2","3"
"CSF_ID.AM-07","CSF_ID.AM","subcategory","ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained","2","3"
"CSF_ID.AM-08","CSF_ID.AM","subcategory","ID.AM-08: Systems, hardware, software, and services are managed throughout their life cycle","2","3"
"CSF_ID.IM","CSF_ID","category","ID.IM: Improvement","2","3"
"CSF_ID.IM-01","CSF_ID.IM","subcategory","ID.IM-01: Continuous evaluation is applied to identify improvements","2","3"
"CSF_ID.IM-02","CSF_ID.IM","subcategory","ID.IM-02: Security tests and exercises, including those done in coordination with suppliers and relevant third parties, are conducted to identify improvements","2","3"
"CSF_ID.IM-03","CSF_ID.IM","subcategory","ID.IM-03: Lessons learned during execution of operational processes, procedures, and activities are used to identify improvements","2","3"
"CSF_ID.IM-04","CSF_ID.IM","subcategory","ID.IM-04: Cybersecurity plans that affect operations are communicated, maintained, and improved","2","3"
"CSF_ID.RA","CSF_ID","category","ID.RA: Risk Assessment","2","3"
"CSF_ID.RA-01","CSF_ID.RA","subcategory","ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded","2","3"
"CSF_ID.RA-02","CSF_ID.RA","subcategory","ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources","2","3"
"CSF_ID.RA-03","CSF_ID.RA","subcategory","ID.RA-03: Internal and external threats to the organization are identified and recorded","2","3"
"CSF_ID.RA-04","CSF_ID.RA","subcategory","ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded","2","3"
"CSF_ID.RA-05","CSF_ID.RA","subcategory","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization","2","3"
"CSF_ID.RA-06","CSF_ID.RA","subcategory","ID.RA-06: Risk responses are chosen from the available options, prioritized, planned, tracked, and communicated","2","3"
"CSF_ID.RA-07","CSF_ID.RA","subcategory","ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked","2","3"
"CSF_ID.RA-08","CSF_ID.RA","subcategory","ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established","2","3"
"CSF_ID.RA-09","CSF_ID.RA","subcategory","ID.RA-09: The authenticity and integrity of hardware and software are assessed prior to acquisition and use","2","3"
"CSF_PR","CSF","function","PR: Protect","2","3"
"CSF_PR.AA","CSF_PR","category","PR.AA: Identity Management, Authentication, and Access Control","2","3"
"CSF_PR.AA-01","CSF_PR.AA","subcategory","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization","2","3"
"CSF_PR.AA-02","CSF_PR.AA","subcategory","PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions","2","3"
"CSF_PR.AA-03","CSF_PR.AA","subcategory","PR.AA-03: Users, services, and hardware are authenticated","2","3"
"CSF_PR.AA-04","CSF_PR.AA","subcategory","PR.AA-04: Identity assertions are protected, conveyed, and verified","2","3"
"CSF_PR.AA-05","CSF_PR.AA","subcategory","PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties","2","3"
"CSF_PR.AA-06","CSF_PR.AA","subcategory","PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk","2","3"
"CSF_PR.AT","CSF_PR","category","PR.AT: Awareness and Training","2","3"
"CSF_PR.AT-01","CSF_PR.AT","subcategory","PR.AT-01: Users are provided awareness and training so they possess the knowledge and skills to perform general tasks with security risks in mind","2","3"
"CSF_PR.AT-02","CSF_PR.AT","subcategory","PR.AT-02: Individuals in specialized roles are provided awareness and training so they possess the knowledge and skills to perform relevant tasks with security risks in mind","2","3"
"CSF_PR.DS","CSF_PR","category","PR.DS: Data Security","2","3"
"CSF_PR.DS-01","CSF_PR.DS","subcategory","PR.DS-01: The confidentiality, integrity, and availability of data-at-rest are protected","2","3"
"CSF_PR.DS-02","CSF_PR.DS","subcategory","PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected","2","3"
"CSF_PR.DS-09","CSF_PR.DS","subcategory","PR.DS-09: Data is managed throughout its life cycle, including destruction","2","3"
"CSF_PR.DS-10","CSF_PR.DS","subcategory","PR.DS-10: The confidentiality, integrity, and availability of data-in-use are protected","2","3"
"CSF_PR.DS-11","CSF_PR.DS","subcategory","PR.DS-11: Backups of data are created, protected, maintained, and tested","2","3"
"CSF_PR.IR","CSF_PR","category","PR.IR: Technology Infrastructure Resilience","2","3"
"CSF_PR.IR-01","CSF_PR.IR","subcategory","PR.IR-01: Networks and environments are protected from unauthorized logical access and usage","2","3"
"CSF_PR.IR-02","CSF_PR.IR","subcategory","PR.IR-02: The organization's technology assets are protected from environmental threats","2","3"
"CSF_PR.IR-03","CSF_PR.IR","subcategory","PR.IR-03: Mechanisms are implemented to achieve resilience requirements in normal and adverse situations","2","3"
"CSF_PR.IR-04","CSF_PR.IR","subcategory","PR.IR-04: Adequate resource capacity to ensure availability is maintained","2","3"
"CSF_PR.PS","CSF_PR","category","PR.PS: Platform Security","2","3"
"CSF_PR.PS-01","CSF_PR.PS","subcategory","PR.PS-01: Configuration management practices are applied","2","3"
"CSF_PR.PS-02","CSF_PR.PS","subcategory","PR.PS-02: Software is maintained, replaced, and removed commensurate with risk","2","3"
"CSF_PR.PS-03","CSF_PR.PS","subcategory","PR.PS-03: Hardware is maintained, replaced, and removed commensurate with risk","2","3"
"CSF_PR.PS-04","CSF_PR.PS","subcategory","PR.PS-04: Log records are generated and made available for continuous monitoring","2","3"
"CSF_PR.PS-05","CSF_PR.PS","subcategory","PR.PS-05: Installation and execution of unauthorized software are prevented","2","3"
"CSF_PR.PS-06","CSF_PR.PS","subcategory","PR.PS-06: Secure software development practices are integrated and their performance is monitored throughout the software development life cycle","2","3"
"CSF_RC","CSF","function","RC: Recover","2","3"
"CSF_RC.CO","CSF_RC","category","RC.CO: Incident Recovery Communication","2","3"
"CSF_RC.CO-03","CSF_RC.CO","subcategory","RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders","2","3"
"CSF_RC.CO-04","CSF_RC.CO","subcategory","RC.CO-04: Public updates on incident recovery are properly shared using approved methods and messaging","2","3"
"CSF_RC.RP","CSF_RC","category","RC.RP: Incident Recovery Plan Execution","2","3"
"CSF_RC.RP-01","CSF_RC.RP","subcategory","RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process","2","3"
"CSF_RC.RP-02","CSF_RC.RP","subcategory","RC.RP-02: Recovery actions are determined, scoped, prioritized, and performed","2","3"
"CSF_RC.RP-03","CSF_RC.RP","subcategory","RC.RP-03: The integrity of backups and other restoration assets is verified before using them for restoration","2","3"
"CSF_RC.RP-04","CSF_RC.RP","subcategory","RC.RP-04: Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms","2","3"
"CSF_RC.RP-05","CSF_RC.RP","subcategory","RC.RP-05: The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed","2","3"
"CSF_RC.RP-06","CSF_RC.RP","subcategory","RC.RP-06: The criteria for determining the end of incident recovery are applied, and incident-related documentation is completed","2","3"
"CSF_RS","CSF","function","RS: Respond","2","3"
"CSF_RS.AN","CSF_RS","category","RS.AN: Incident Analysis","2","3"
"CSF_RS.AN-03","CSF_RS.AN","subcategory","RS.AN-03: Analysis is performed to determine what has taken place during an incident and the root cause of the incident","2","3"
"CSF_RS.AN-06","CSF_RS.AN","subcategory","RS.AN-06: Actions performed during an investigation are recorded and the records' integrity and provenance are preserved","2","3"
"CSF_RS.AN-07","CSF_RS.AN","subcategory","RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved","2","3"
"CSF_RS.AN-08","CSF_RS.AN","subcategory","RS.AN-08: The incident's magnitude is estimated and validated","2","3"
"CSF_RS.CO","CSF_RS","category","RS.CO: Incident Response Reporting and Communication","2","3"
"CSF_RS.CO-02","CSF_RS.CO","subcategory","RS.CO-02: Internal and external stakeholders are notified of incidents","2","3"
"CSF_RS.CO-03","CSF_RS.CO","subcategory","RS.CO-03: Information is shared with designated internal and external stakeholders","2","3"
"CSF_RS.MA","CSF_RS","category","RS.MA: Incident Management","2","3"
"CSF_RS.MA-01","CSF_RS.MA","subcategory","RS.MA-01: The incident response plan is executed once an incident is declared in coordination with relevant third parties","2","3"
"CSF_RS.MA-02","CSF_RS.MA","subcategory","RS.MA-02: Incident reports are triaged and validated","2","3"
"CSF_RS.MA-03","CSF_RS.MA","subcategory","RS.MA-03: Incidents are categorized and prioritized","2","3"
"CSF_RS.MA-04","CSF_RS.MA","subcategory","RS.MA-04: Incidents are escalated or elevated as needed","2","3"
"CSF_RS.MA-05","CSF_RS.MA","subcategory","RS.MA-05: The criteria for initiating incident recovery are applied","2","3"
"CSF_RS.MI","CSF_RS","category","RS.MI: Incident Mitigation","2","3"
"CSF_RS.MI-01","CSF_RS.MI","subcategory","RS.MI-01: Incidents are contained","2","3"
"CSF_RS.MI-02","CSF_RS.MI","subcategory","RS.MI-02: Incidents are eradicated","2","3"
